commit	1/radcliq_v1	radgraph_f1	semb_score	bertscore_f1	bleu_2	ratescore	green_score	status	description
—	0.4027	0.0937	0.2107	-0.2177	0.0256	0.4541	0.0167	baseline	sonnet api vision-only (val, 10 studies)
—	0.6867	0.1677	0.3873	0.2422	0.1536	0.5507	0.2996	baseline	chexone direct (val, 10 studies)
121b711	0.6979	0.1987	0.4637	0.1870	0.1555	0.5774	0.4028	keep	iter1: baseline agent, 12 tools, skill v4.0, prior+clinical context
20bdf9b	0.7605	0.1988	0.5113	0.2296	0.1541	0.5817	0.4657	keep	iter2: tighten to 25-60 words, remove technique preamble, all 12 tools used
d67ff9e	0.8511	0.2362	0.5713	0.2500	0.1534	0.5967	0.4135	keep	iter3: strict 55-word max, avg 46.7 words (GT=48.6). 6/7 beat CheXOne
f119182	0.8077	0.2214	0.5317	0.2468	0.1470	0.6062	0.4954	revert	iter4: +medgemma_report Phase1. GREEN↑0.08 RaTE↑0.01 but 5/7 regressed. 6/7 beat CheXOne
c42f18f	0.8008	0.2173	0.5248	0.2476	0.1937	0.6180	0.4585	keep	iter5: "There is/is no" phrasing. BLEU-2 0.15→0.19! 7/7 beat CheXOne → GRADUATE
68cf7b5	0.7357	0.2055	0.4902	0.2104	0.1729	0.6049	0.4815	revert	iter6: no word limit → 76w avg, BERTScore below CheXOne. 6/7
6307fb2	0.8389	0.2318	0.5710	0.2432	0.1716	0.5860	0.4671	keep	iter7: soft conciseness, 70w avg. 7/7 beat CheXOne. Best RadCliQ+SembScore balance
f84279d	0.8218	0.2283	0.5390	0.2501	0.1828	0.6115	0.3957	keep	iter8: comparison brevity, 66w avg. 7/7, best BERTScore. GREEN↓
aaa1796	0.7506	0.1867	0.5045	0.2323	0.1575	0.5728	0.4459	revert	iter9: +medgemma_vqa Phase3, bbox fix. 6/7 regressed vs iter8. BERTScore<CheXOne
